Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_LINX_BAT-HLD-012-SMT",87.500000,-115.500000,-90.000000,bottom
"C24","100n","C_0402_1005Metric",55.875000,-96.650000,-90.000000,bottom
"C25","100n","C_0402_1005Metric",56.975000,-96.650000,-90.000000,bottom
"C28","0.1u","C_0402_1005Metric",78.950000,-70.030000,-90.000000,bottom
"C30","100n","C_0402_1005Metric",54.575000,-93.037500,90.000000,bottom
"C31","100n","C_0402_1005Metric",53.475000,-93.037500,90.000000,bottom
"C32","10u","C_0402_1005Metric",54.275000,-95.337500,-90.000000,bottom
"C35","100u","CP_EIA-3216-18_Kemet-A",65.456000,-79.323500,90.000000,bottom
"C36","100u","CP_EIA-3216-18_Kemet-A",63.226000,-79.321000,90.000000,bottom
"C40","100n","C_0402_1005Metric",73.500000,-103.925000,90.000000,bottom
"C41","100n","C_0402_1005Metric",66.400000,-107.325000,180.000000,bottom
"C42","10u","C_0402_1005Metric",56.175000,-94.350000,90.000000,bottom
"C43","100n","C_0402_1005Metric",73.500000,-89.700000,180.000000,bottom
"C44","100n","C_0402_1005Metric",76.900000,-96.799999,-90.000000,bottom
"C46","100n","C_0402_1005Metric",69.725000,-89.600000,-90.000000,bottom
"C49","100n","C_0402_1005Metric",46.955000,-107.000000,0.000000,bottom
"C50","100n","C_0402_1005Metric",46.955000,-108.050000,0.000000,bottom
"C51","10u","C_0402_1005Metric",46.970000,-109.175000,0.000000,bottom
"D4","SP0504BAHT","SOT-23-5",77.700000,-73.640000,-90.000000,bottom
"D9","ESDONCAN1LT1G","SOT-23",51.175000,-87.225000,-90.000000,bottom
"D10","RS1K-E3/5ATSS310","D_SMA",52.987000,-78.341000,90.000000,bottom
"D11","SS310","D_SMA",56.572000,-78.341000,-90.000000,bottom
"D12","SS310","D_SMA",60.247000,-78.341000,90.000000,bottom
"D15","ESDONCAN1LT1G","SOT-23",59.175000,-102.650000,90.000000,bottom
"D18","ESDONCAN1LT1G","SOT-23",38.935000,-113.550000,0.000000,bottom
"D19","4.4-4.5 ZENER","D_SOD-123",60.187000,-84.371000,-90.000000,bottom
"J2","nano_sim","nano_sim_NSIM-2-C",80.390000,-72.630000,-90.000000,bottom
"J7","Micro_SD_Card","MOLEX_503398-1892",87.237000,-91.475000,90.000000,bottom
"R3","100K","R_0402_1005Metric",71.362500,-127.264762,90.000000,bottom
"R4","100K","R_0402_1005Metric",79.612500,-126.974762,-90.000000,bottom
"R9","100K","R_0402_1005Metric",58.168000,-87.780000,90.000000,bottom
"R10","10R","R_0402_1005Metric",60.175000,-96.750000,-90.000000,bottom
"R11","220R","R_0402_1005Metric",59.275000,-98.850000,0.000000,bottom
"R12","10R","R_0402_1005Metric",58.975000,-96.750000,-90.000000,bottom
"R18","49.9R","R_0402_1005Metric",62.370000,-86.227000,0.000000,bottom
"R31","100K","R_0402_1005Metric",52.374999,-102.187500,-90.000000,bottom
"R32","100K","R_0402_1005Metric",51.125000,-102.187500,90.000000,bottom
"R37","10R","R_0402_1005Metric",50.275001,-92.937500,90.000000,bottom
"R38","220R","R_0402_1005Metric",51.175001,-90.837500,180.000000,bottom
"R39","10R","R_0402_1005Metric",51.475001,-92.937500,90.000000,bottom
"R43","60R","R_0402_1005Metric",64.200000,-105.725000,180.000000,bottom
"R44","60R","R_0402_1005Metric",64.200000,-102.825000,180.000000,bottom
"R58","100K","R_0402_1005Metric",59.545000,-87.788000,-90.000000,bottom
"R59","60R","R_0402_1005Metric",75.300000,-99.000000,-90.000000,bottom
"R60","60R","R_0402_1005Metric",72.400001,-99.000000,-90.000000,bottom
"R61","100K","R_0402_1005Metric",53.820000,-111.075000,0.000000,bottom
"R62","10R","R_0402_1005Metric",44.597500,-114.850000,180.000000,bottom
"R63","220R","R_0402_1005Metric",42.497500,-113.950000,-90.000000,bottom
"R64","10R","R_0402_1005Metric",44.597500,-113.650000,180.000000,bottom
"R65","100K","R_0402_1005Metric",53.820000,-112.325000,180.000000,bottom
"U5","SSP3485U","MSOP-8_3x3mm_P0.65mm",51.800000,-97.437500,90.000000,bottom
"U9","ATA6561-GAQW-N","SOIC-8_3.9x4.9mm_P1.27mm",69.100000,-103.925000,180.000000,bottom
"U11","SSP3485U","MSOP-8_3x3mm_P0.65mm",58.650000,-92.250000,-90.000000,bottom
"U13","ATA6561-GAQW-N","SOIC-8_3.9x4.9mm_P1.27mm",73.500000,-94.100000,-90.000000,bottom
"U15","MC74HC4052A","SSOP-16_5.3x6.2mm_P0.65mm",65.525000,-92.700000,90.000000,bottom
"U19","SSP3485U","MSOP-8_3x3mm_P0.65mm",49.070000,-111.650000,180.000000,bottom
