Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Shield","SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount",92.090000,-64.720000,90.000000,top
"AE2","Antenna_Shield","UFL_COAX_CONN23370191",52.000000,-70.800000,90.000000,top
"AE3","Antenna_Shield","UFL_COAX_CONN23370191",86.350000,-59.955000,0.000000,top
"C1","100n","C_0402_1005Metric",72.112500,-119.112500,180.000000,top
"C2","100n","C_0402_1005Metric",84.712500,-115.112500,0.000000,top
"C3","100n","C_0402_1005Metric",73.800000,-113.180000,90.000000,top
"C4","100n","C_0402_1005Metric",75.600000,-111.500000,90.000000,top
"C5","100n","C_0402_1005Metric",82.812500,-122.312500,0.000000,top
"C6","1u","C_0402_1005Metric",88.600000,-101.820000,-90.000000,top
"C7","100n","C_0402_1005Metric",62.280000,-114.475000,180.000000,top
"C8","100n","C_0402_1005Metric",57.665000,-111.700000,0.000000,top
"C9","22p","C_0402_1005Metric",66.400000,-115.300000,45.000000,top
"C10","22p","C_0402_1005Metric",66.200000,-119.670000,-45.000000,top
"C11","22p","C_0402_1005Metric",71.800000,-110.300000,0.000000,top
"C12","22p","C_0402_1005Metric",69.600000,-110.300000,180.000000,top
"C13","10u","C_0402_1005Metric",90.575000,-119.050000,90.000000,top
"C14","0.1u","C_0402_1005Metric",69.975000,-91.100000,180.000000,top
"C15","1u","C_0402_1005Metric",69.975000,-90.025000,180.000000,top
"C16","0.1u","C_0402_1005Metric",66.300000,-94.025000,90.000000,top
"C17","1u","C_0402_1005Metric",65.200000,-94.025000,90.000000,top
"C18","22p","C_0402_1005Metric",66.495000,-62.025000,90.000000,top
"C19","22p","C_0402_1005Metric",64.195000,-62.015000,90.000000,top
"C20","22p","C_0402_1005Metric",60.520000,-65.000000,180.000000,top
"C23","1u","C_0402_1005Metric",78.900000,-86.580000,-90.000000,top
"C26","10u","C_0402_1005Metric",77.850000,-86.580000,-90.000000,top
"C27","10u","C_0402_1005Metric",76.775000,-86.580000,-90.000000,top
"C29","1u","C_0402_1005Metric",60.680000,-67.270000,180.000000,top
"C33","100n","C_0402_1005Metric",79.550000,-99.730000,-90.000000,top
"C34","100n","C_0402_1005Metric",83.750000,-99.810000,-90.000000,top
"C39","100n","C_0402_1005Metric",67.962500,-127.930000,-90.000000,top
"C47","8.2p","C_0402_1005Metric",53.920000,-126.700000,0.000000,top
"C48","10n","C_0603_1608Metric",59.780000,-121.470000,180.000000,top
"C52","100n","C_0402_1005Metric",75.500000,-107.300000,90.000000,top
"C53","33p","C_0603_1608Metric",59.780000,-119.870000,180.000000,top
"C54","10p","C_0603_1608Metric",59.780000,-118.270000,180.000000,top
"C55","22u","C_0603_1608Metric",59.780000,-123.070000,180.000000,top
"C56","10u","C_0603_1608Metric",56.480000,-121.070000,0.000000,top
"C57","10u","C_0603_1608Metric",56.480000,-122.670000,0.000000,top
"C58","100n","C_0603_1608Metric",56.480000,-125.000000,0.000000,top
"D1","MMSZ5232B-E3-08","D_SOD-123",47.400000,-124.400000,90.000000,top
"D2","LED","LED_0603_1608Metric",92.300000,-95.040000,180.000000,top
"D3","LXES15AAA1-153","D_0402_1005Metric",55.670000,-71.285000,90.000000,top
"D5","ORANGE","LED_0402_1005Metric",78.500000,-60.000000,90.000000,top
"D6","BLUE","LED_0402_1005Metric",74.000000,-60.000000,90.000000,top
"D7","BEP0080MA","D_SOD-123",62.225000,-91.875000,90.000000,top
"D8","BEP0080MA","D_SOD-123",49.925000,-91.912502,90.000000,top
"D13","BEP0080MA","D_SOD-123",50.100000,-100.037500,90.000000,top
"D14","BEP0080MA","D_SOD-123",63.400000,-99.937500,90.000000,top
"D16","BEP0080MA","D_SOD-123",37.500000,-116.150000,90.000000,top
"D17","BEP0080MA","D_SOD-123",37.500000,-121.150000,90.000000,top
"FL1","SAFEB1G57KE0F00R15","Filter_1411-5_1.4x1.1mm",84.825000,-64.712500,180.000000,top
"J1","Conn_02x09_Counter_Clockwise","conn_18pin_02x09_angled_MX23A18NF1",46.660000,-93.970000,-90.000000,top
"J3","Conn_01x06","J-LINK_6-PIN_NEEDLE_ADAPTER",91.629000,-102.190000,-90.000000,top
"L1","L_Ferrite","L_0603_1608Metric",71.000000,-122.300000,0.000000,top
"L2","82nH","L_0402_1005Metric",86.390000,-65.195000,-90.000000,top
"L5","2.2u","MDA5030-100M",61.580000,-126.770000,0.000000,top
"Q1","SSM3J328R-HXY","SOT-23",50.500000,-125.000000,0.000000,top
"Q2","SSM3J328R-HXY","SOT-23",52.985000,-108.975000,90.000000,top
"Q3","IRLML0100TRPBF","SOT-23",52.985000,-114.412500,90.000000,top
"Q5","BSN20","SOT-23",87.662500,-73.100000,180.000000,top
"Q6","BSN20","SOT-23",75.500000,-97.175000,90.000000,top
"R1","49.9R","R_0402_1005Metric",47.100000,-119.675000,0.000000,top
"R2","10K","R_0402_1005Metric",62.175000,-113.325000,0.000000,top
"R5","10K","R_0402_1005Metric",53.875000,-111.575000,180.000000,top
"R6","10K","R_0402_1005Metric",57.665000,-110.500000,0.000000,top
"R7","1M","R_0402_1005Metric",71.337500,-117.362500,-90.000000,top
"R8","499R","R_0402_1005Metric",91.940000,-96.500000,180.000000,top
"R13","4.7K","R_0402_1005Metric",91.800000,-116.000000,90.000000,top
"R14","4.7K","R_0402_1005Metric",93.400000,-116.000000,90.000000,top
"R15","220R","R_0402_1005Metric",89.375000,-119.050000,90.000000,top
"R16","4.7K","R_0402_1005Metric",91.775000,-119.050000,90.000000,top
"R20","1k","R_0402_1005Metric",88.600000,-75.350000,0.000000,top
"R21","10K","R_0402_1005Metric",90.200000,-72.350000,-90.000000,top
"R22","10K","R_0402_1005Metric",75.120000,-94.650000,180.000000,top
"R23","1k","R_0402_1005Metric",75.110000,-93.550000,0.000000,top
"R24","1k","R_0402_1005Metric",73.250000,-98.225000,90.000000,top
"R25","10K","R_0402_1005Metric",76.250000,-99.650000,180.000000,top
"R26","2.2K","R_0402_1005Metric",64.975000,-87.025000,-90.000000,top
"R27","2.2K","R_0402_1005Metric",66.175000,-87.025000,-90.000000,top
"R28","22R","R_0402_1005Metric",60.500000,-66.200000,180.000000,top
"R29","22R","R_0402_1005Metric",65.245000,-62.015000,-90.000000,top
"R30","22R","R_0402_1005Metric",67.545000,-62.025000,90.000000,top
"R33","200K","R_0402_1005Metric",88.875000,-78.425000,180.000000,top
"R34","100K","R_0402_1005Metric",88.877500,-77.115000,0.000000,top
"R35","390R","R_0402_1005Metric",77.025000,-60.462500,90.000000,top
"R36","390R","R_0402_1005Metric",72.670000,-59.990000,90.000000,top
"R40","10k","R_0402_1005Metric",68.900000,-87.000000,90.000000,top
"R41","10k","R_0402_1005Metric",67.700000,-87.000000,90.000000,top
"R42","10k","R_0402_1005Metric",72.500000,-87.000000,90.000000,top
"R45","10k","R_0402_1005Metric",71.300000,-87.000000,90.000000,top
"R46","10k","R_0402_1005Metric",70.100000,-87.000000,90.000000,top
"R47","10k","R_0402_1005Metric",73.700000,-87.000000,90.000000,top
"R51","0R","R_0402_1005Metric",57.280000,-70.800000,180.000000,top
"R66","1k","R_0402_1005Metric",51.875000,-111.575000,180.000000,top
"R67","10K","R_0402_1005Metric",74.200000,-107.300000,90.000000,top
"R68","100R","R_0402_1005Metric",49.385000,-115.475000,90.000000,top
"R69","10K","R_0402_1005Metric",50.585000,-115.475000,90.000000,top
"R70","180K","R_0402_1005Metric",53.890000,-127.825000,0.000000,top
"R71","40K","R_0603_1608Metric",53.800000,-129.150000,180.000000,top
"SW1","reset","SKRPACE010",62.450000,-109.860000,90.000000,top
"TH1","Thermistor_PTC","Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder",44.500000,-125.375000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",78.362500,-117.850000,0.000000,top
"U2","PCF8523TK","HVSON-8-1EP_4x4mm_P0.8mm_EP2.2x3.1mm",91.400000,-123.100000,90.000000,top
"U3","A9G_MODULE","A9G_MODULE",63.500000,-81.600000,90.000000,top
"U4","TBU-CA065-200-WH","TBU-CA065-200-WH",58.625000,-95.100000,90.000000,top
"U6","TBU-CA065-200-WH","TBU-CA065-200-WH",53.625000,-95.075000,90.000000,top
"U7","WAS3157B","SOT-363_SC-70-6",78.900000,-97.050000,-90.000000,top
"U8","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",73.162500,-126.650000,0.000000,top
"U10","TBU-CA065-200-WH","TBU-CA065-200-WH",53.850000,-103.337500,90.000000,top
"U12","TBU-CA065-200-WH","TBU-CA065-200-WH",59.700000,-103.337500,90.000000,top
"U14","WAS3157B","SOT-363_SC-70-6",84.250000,-97.100000,-90.000000,top
"U16","SY8089AAAC","SOT-23-5",58.000000,-127.700000,180.000000,top
"U17","XC6206PxxxMR","SOT-23-3",68.925000,-93.375000,0.000000,top
"U18","TBU-CA065-200-WH","TBU-CA065-200-WH",44.745000,-116.010000,180.000000,top
"U20","TBU-CA065-200-WH","TBU-CA065-200-WH",44.515000,-120.970000,180.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",67.800000,-117.300000,45.000000,top
"Y2","32.678KHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",70.800000,-112.100000,180.000000,top
"Y3","32.678KHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",90.375000,-127.250000,0.000000,top
